sale_id,sale_date,store_id,product_id,quantity
FY-7046,2022-11-05,ST-24,P-36,2
YB-28174,2022-12-22,ST-40,P-26,10
GJ-6359,2024-08-15,ST-72,P-17,8
LN-1396,2024-01-18,ST-44,P-78,2
YM-66541,2020-02-16,ST-3,P-88,5
DZ-7476,2020-06-30,ST-5,P-75,7
PF-29174,2020-08-27,ST-55,P-57,7
SJ-75325,2022-05-31,ST-28,P-42,8
EH-552820,2023-03-15,ST-34,P-13,2
RE-420078,2020-11-25,ST-71,P-26,10
DU-28056,2024-07-08,ST-8,P-40,4
XA-51752,2020-06-18,ST-11,P-16,1
YN-3733,2024-09-29,ST-2,P-57,1
LR-0627,2022-05-22,ST-56,P-27,6
KW-0710,2022-05-11,ST-36,P-67,5
RU-159516,2022-05-30,ST-23,P-8,8
XU-231947,2024-07-15,ST-45,P-64,3
KN-979984,2024-08-21,ST-45,P-29,1
AN-636404,2023-03-03,ST-43,P-71,8
RZ-2716,2020-07-21,ST-55,P-33,9
AY-0729,2023-03-20,ST-44,P-71,8
VW-7047,2021-12-30,ST-9,P-83,6
WX-7654,2023-08-23,ST-35,P-16,6
FE-978642,2020-10-25,ST-50,P-49,4
BF-94583,2020-10-19,ST-67,P-47,6
SZ-77160,2021-02-05,ST-37,P-42,6
PX-573444,2022-05-07,ST-34,P-3,2
HJ-456343,2020-09-06,ST-33,P-33,1
JF-187681,2022-04-18,ST-5,P-10,9
OR-45171,2021-12-15,ST-36,P-54,4
PY-458717,2022-05-15,ST-27,P-13,8
TC-00177,2020-04-20,ST-19,P-69,8
IR-099326,2020-03-04,ST-71,P-87,5
DB-3588,2024-04-19,ST-53,P-15,10
UJ-55405,2023-05-04,ST-67,P-26,6
IT-87038,2024-05-31,ST-48,P-74,7
PI-3739,2022-03-12,ST-6,P-22,2
HO-0455,2024-07-31,ST-12,P-89,6
WJ-72872,2024-02-25,ST-2,P-35,1
PC-9967,2021-07-15,ST-46,P-20,1
QH-9157,2022-09-09,ST-57,P-81,7
PF-41355,2022-07-11,ST-16,P-20,2
WP-0933,2021-02-17,ST-50,P-68,2
WL-6893,2021-08-27,ST-28,P-40,1
JA-058134,2021-01-29,ST-14,P-5,1
ES-2096,2023-11-03,ST-7,P-88,3
PO-4862,2020-12-25,ST-9,P-23,10
NX-833355,2024-01-02,ST-11,P-9,4
YL-574641,2021-04-27,ST-16,P-8,1
RI-101161,2022-01-18,ST-56,P-43,10
EW-0602,2023-06-09,ST-9,P-82,5
DW-09971,2021-01-09,ST-30,P-69,2
IY-7630,2023-11-21,ST-25,P-67,10
RH-08308,2020-01-09,ST-50,P-14,9
FT-0971,2021-11-15,ST-1,P-34,9
LS-141803,2021-07-31,ST-17,P-9,9
FR-8481,2024-03-31,ST-64,P-32,9
LH-15605,2020-12-17,ST-23,P-47,1
PF-469072,2023-05-20,ST-9,P-89,9
OQ-60089,2024-02-02,ST-10,P-65,7
LQ-157442,2020-05-30,ST-59,P-73,7
GP-9721,2022-11-23,ST-41,P-89,7
YK-797748,2024-05-11,ST-17,P-60,1
RG-6218,2023-07-05,ST-45,P-12,6
VQ-75499,2021-01-18,ST-74,P-83,7
TH-38571,2021-12-31,ST-44,P-8,7
IX-528551,2020-01-04,ST-59,P-42,6
JE-55048,2022-08-03,ST-24,P-78,5
QE-420874,2021-01-11,ST-59,P-75,9
RJ-273700,2023-09-04,ST-40,P-43,9
UW-6759,2022-02-08,ST-7,P-37,6
UQ-182488,2024-09-30,ST-73,P-14,1
NM-2866,2023-07-05,ST-16,P-87,7
EV-17280,2024-07-27,ST-64,P-43,1
HG-89792,2020-05-27,ST-69,P-70,7
BJ-7473,2021-05-16,ST-27,P-21,9
WM-9899,2020-06-01,ST-58,P-43,7
DB-8774,2021-01-19,ST-29,P-64,1
DA-1599,2020-02-06,ST-50,P-10,9
OI-09295,2023-11-05,ST-65,P-23,2
IG-780082,2023-02-26,ST-17,P-68,10
UT-365537,2020-12-13,ST-56,P-26,7
WT-2518,2020-07-24,ST-44,P-80,2
ZO-681243,2021-12-27,ST-41,P-80,2
BH-746599,2021-06-28,ST-41,P-26,3
VD-66087,2023-09-24,ST-7,P-9,8
FC-617053,2024-05-26,ST-64,P-70,6
UX-3225,2020-02-16,ST-25,P-12,8
LX-360558,2021-04-05,ST-52,P-49,2
QM-355005,2023-05-14,ST-18,P-33,5
GR-3334,2020-08-22,ST-21,P-57,2
TI-5157,2024-01-06,ST-49,P-3,10
JB-14625,2021-05-10,ST-62,P-15,2
XJ-06411,2022-01-28,ST-73,P-33,6
MY-72567,2024-09-26,ST-68,P-60,7
WG-8529,2024-06-13,ST-56,P-12,3
IK-4721,2020-06-19,ST-65,P-57,9
XV-68594,2024-08-30,ST-64,P-81,10
LA-565770,2020-06-18,ST-23,P-32,8
CQ-340333,2023-01-01,ST-48,P-32,8
GY-98860,2023-03-24,ST-6,P-44,10
UC-3791,2022-10-11,ST-36,P-22,4
LF-3667,2020-05-29,ST-43,P-20,3
QP-951378,2024-09-01,ST-1,P-64,2
KT-31506,2020-07-29,ST-42,P-43,2
JV-12394,2020-02-15,ST-3,P-69,8
JY-82084,2024-05-22,ST-72,P-4,4
AN-1906,2023-02-10,ST-71,P-4,6
UW-700944,2022-12-17,ST-57,P-51,3
AK-92110,2023-05-30,ST-49,P-65,1
NI-44237,2022-03-08,ST-10,P-45,7
MW-684930,2021-01-18,ST-9,P-72,2
MK-1350,2021-08-12,ST-45,P-44,6
VO-838386,2020-03-16,ST-20,P-27,9
CK-093477,2024-05-25,ST-73,P-62,1
BC-0746,2020-12-01,ST-55,P-72,10
KO-775718,2020-02-13,ST-46,P-4,10
CX-896346,2024-02-10,ST-46,P-67,7
BQ-6273,2020-09-11,ST-44,P-64,2
AC-2616,2021-01-01,ST-47,P-22,5
KE-8249,2020-06-24,ST-17,P-52,3
ZM-367001,2023-10-27,ST-75,P-79,1
VS-179058,2020-06-13,ST-54,P-64,10
GH-07179,2024-02-04,ST-62,P-87,1
YG-556411,2021-05-17,ST-66,P-23,1
EJ-479505,2021-01-23,ST-55,P-51,8
QY-49098,2022-06-08,ST-8,P-13,5
ND-68912,2022-04-05,ST-55,P-48,8
WE-430073,2024-03-11,ST-57,P-13,5
ME-1957,2024-04-25,ST-68,P-9,1
JI-203034,2023-07-31,ST-43,P-66,7
BJ-823770,2022-08-20,ST-13,P-11,3
IW-09212,2024-08-06,ST-59,P-55,10
AA-29074,2024-06-02,ST-46,P-85,9
GS-04912,2020-12-20,ST-13,P-39,5
JY-167251,2020-07-04,ST-8,P-6,2
OO-83229,2023-09-05,ST-43,P-44,9
WS-0127,2021-07-09,ST-33,P-28,5
QK-9898,2020-07-14,ST-13,P-84,9
BQ-6985,2022-09-30,ST-25,P-52,6
VL-9860,2022-05-09,ST-37,P-16,3
XI-95385,2021-03-15,ST-67,P-44,2
TG-85247,2024-03-02,ST-40,P-61,2
CW-89579,2022-02-06,ST-15,P-50,9
JM-0463,2021-03-05,ST-24,P-35,10
HD-59708,2021-01-16,ST-60,P-21,8
LM-4999,2021-05-12,ST-68,P-42,10
VD-70089,2021-02-04,ST-68,P-19,5
JO-833914,2023-03-06,ST-21,P-80,4
EF-0082,2021-02-18,ST-63,P-85,8
RN-61369,2023-03-28,ST-29,P-13,10
EZ-9588,2024-11-01,ST-3,P-78,2
EV-09955,2021-01-11,ST-45,P-71,10
DR-19055,2021-12-26,ST-57,P-78,5
NN-395091,2021-06-30,ST-56,P-79,8
UR-276638,2022-02-23,ST-44,P-83,8
PI-086310,2021-07-23,ST-46,P-25,7
NP-55038,2022-01-28,ST-36,P-59,3
ZI-836511,2021-08-16,ST-51,P-67,3
VW-0727,2021-06-25,ST-24,P-70,7
VH-273281,2022-10-25,ST-56,P-5,7
CE-447216,2020-10-02,ST-24,P-83,8
LW-770873,2021-07-26,ST-65,P-79,10
FJ-03325,2021-10-13,ST-31,P-5,4
QH-8964,2024-02-24,ST-39,P-48,6
TL-93710,2024-04-27,ST-21,P-45,7
AT-98306,2022-09-24,ST-17,P-72,3
OH-65190,2021-08-07,ST-66,P-31,5
WG-14358,2022-10-27,ST-75,P-85,4
HG-1933,2024-05-30,ST-10,P-26,4
AB-8477,2020-06-27,ST-30,P-53,5
MJ-84121,2024-03-03,ST-24,P-65,8
AE-6046,2022-02-28,ST-16,P-82,9
TB-407146,2021-04-28,ST-56,P-49,4
IL-462115,2020-11-11,ST-32,P-72,2
JV-087694,2022-04-17,ST-59,P-48,4
BP-13880,2021-02-24,ST-47,P-45,3
KJ-494200,2023-05-29,ST-46,P-72,5
ZE-675897,2023-12-19,ST-34,P-38,7
FK-45673,2023-02-26,ST-30,P-27,1
QS-84279,2020-11-24,ST-1,P-37,2
QD-4586,2023-03-31,ST-9,P-24,9
FW-014944,2024-03-03,ST-72,P-43,5
GR-11754,2020-07-09,ST-74,P-20,1
IP-445841,2022-01-20,ST-18,P-49,8
PZ-94649,2022-07-03,ST-50,P-34,5
YE-45021,2024-07-22,ST-74,P-19,1
OQ-4173,2021-12-15,ST-68,P-74,10
IX-97723,2021-08-04,ST-4,P-53,2
HH-31929,2023-07-21,ST-31,P-17,6
YP-15981,2021-01-27,ST-56,P-63,4
MB-3222,2023-02-21,ST-38,P-68,6
KR-091107,2020-03-04,ST-32,P-63,3
OV-78950,2021-12-12,ST-51,P-28,3
SY-70394,2020-10-14,ST-72,P-43,8
ZI-97191,2022-09-16,ST-25,P-71,1
PU-1690,2022-06-26,ST-2,P-49,4
CH-29794,2023-07-12,ST-42,P-63,4
CC-52297,2023-04-03,ST-59,P-2,9
QK-8480,2022-10-16,ST-50,P-87,3
SZ-5142,2021-03-30,ST-45,P-51,5
NJ-150243,2020-02-04,ST-29,P-80,4
MJ-31198,2022-08-27,ST-34,P-24,3
SX-09658,2024-02-26,ST-22,P-30,10
HX-80312,2024-10-10,ST-24,P-6,3
NU-163883,2020-08-29,ST-42,P-61,10
JG-61505,2023-02-01,ST-31,P-88,7
JS-867069,2024-07-30,ST-7,P-45,2
NI-83698,2021-11-24,ST-56,P-20,3
JH-963841,2023-08-19,ST-9,P-9,5
SN-306895,2023-09-19,ST-39,P-13,10
JV-2960,2020-04-08,ST-69,P-85,3
FG-0217,2020-07-16,ST-29,P-52,8
DX-86138,2023-09-07,ST-14,P-57,5
IA-164424,2022-11-28,ST-61,P-8,6
JH-177298,2020-04-18,ST-64,P-75,9
JA-77656,2021-01-15,ST-56,P-88,5
KZ-3626,2023-08-04,ST-65,P-37,4
LX-054598,2022-09-26,ST-43,P-69,8
ED-207108,2022-10-07,ST-6,P-60,10
FB-7543,2024-05-30,ST-15,P-80,1
IV-29693,2020-07-27,ST-41,P-46,1
WL-7493,2021-02-27,ST-6,P-43,6
AA-133370,2023-02-26,ST-58,P-24,3
QL-02662,2024-02-17,ST-19,P-26,3
WT-68915,2024-10-21,ST-1,P-35,7
MH-740155,2024-11-01,ST-3,P-80,4
RA-21700,2020-07-21,ST-73,P-85,10
QD-913306,2022-10-18,ST-22,P-84,7
UF-249627,2024-08-31,ST-73,P-44,8
JO-70887,2021-08-06,ST-33,P-67,2
YC-132294,2020-09-27,ST-59,P-50,5
JC-4773,2024-03-20,ST-45,P-42,5
HL-97458,2021-11-13,ST-53,P-72,3
RU-67593,2021-02-02,ST-59,P-69,6
VF-17643,2022-09-14,ST-74,P-37,1
BC-9520,2023-07-14,ST-37,P-70,1
OS-35150,2021-02-12,ST-40,P-62,10
EH-6887,2024-03-13,ST-45,P-50,6
HN-3093,2022-05-05,ST-36,P-9,3
RP-13887,2024-01-02,ST-75,P-16,9
KI-21226,2022-08-22,ST-38,P-10,3
XG-14988,2023-10-27,ST-22,P-13,1
UR-51343,2023-05-22,ST-58,P-24,1
GH-45641,2023-06-30,ST-74,P-85,5
QM-6823,2024-08-13,ST-48,P-50,2
GQ-988767,2020-10-05,ST-59,P-31,9
BK-154465,2021-06-16,ST-65,P-34,1
VE-3834,2024-06-12,ST-75,P-47,3
TV-509243,2024-04-20,ST-2,P-17,9
FT-19623,2023-05-21,ST-11,P-33,3
DB-172140,2022-02-03,ST-17,P-70,10
EE-4982,2022-08-03,ST-31,P-68,4
QZ-2260,2024-02-12,ST-20,P-53,4
OA-66076,2024-08-04,ST-42,P-39,3
IO-0087,2023-03-30,ST-13,P-27,1
IP-9768,2023-04-01,ST-38,P-76,6
DH-58217,2024-08-18,ST-55,P-44,9
EU-82235,2023-03-28,ST-55,P-73,8
QZ-5322,2023-07-08,ST-51,P-60,10
XG-446263,2020-07-29,ST-53,P-25,8
VG-0424,2023-09-21,ST-58,P-77,2
QP-0517,2023-02-18,ST-30,P-53,10
PF-943807,2021-01-06,ST-73,P-68,2
EY-8439,2023-05-22,ST-28,P-7,3
DG-94893,2022-07-18,ST-66,P-71,4
OB-7101,2024-02-05,ST-16,P-47,3
DA-4060,2022-09-03,ST-71,P-87,7
ML-2630,2024-07-22,ST-48,P-12,1
AN-960185,2021-12-12,ST-67,P-66,10
LN-181260,2024-02-07,ST-47,P-37,2
VD-3930,2024-06-06,ST-7,P-84,4
II-55746,2022-08-28,ST-37,P-49,2
CN-737783,2024-02-10,ST-3,P-22,6
DX-9391,2022-04-27,ST-73,P-75,10
VB-8501,2023-01-03,ST-19,P-33,9
TS-5893,2023-05-31,ST-60,P-45,10
GN-1120,2022-10-21,ST-9,P-27,1
OO-1268,2021-10-29,ST-14,P-18,9
UT-990757,2023-11-06,ST-66,P-16,10
OP-6687,2023-06-05,ST-66,P-54,5
CN-25457,2020-10-29,ST-36,P-50,9
DR-323307,2020-04-12,ST-2,P-36,3
TT-5740,2024-02-18,ST-50,P-26,6
XO-9671,2021-09-12,ST-29,P-3,2
BB-6314,2021-05-11,ST-59,P-27,9
IQ-51173,2021-09-30,ST-37,P-21,3
JA-4463,2021-01-03,ST-5,P-51,6
LS-7710,2020-01-16,ST-71,P-26,5
YQ-195078,2020-06-07,ST-60,P-60,4
SV-6329,2020-03-02,ST-9,P-57,8
SA-24702,2021-10-03,ST-25,P-19,5
LT-3799,2021-02-21,ST-4,P-54,5
HH-71036,2023-09-09,ST-38,P-1,5
OU-729398,2021-08-29,ST-60,P-79,8
DP-62523,2023-11-16,ST-26,P-20,5
RY-77723,2022-04-02,ST-31,P-23,8
XF-06891,2021-01-12,ST-64,P-27,8
YY-559015,2024-10-15,ST-29,P-59,10
KC-992801,2020-12-11,ST-44,P-56,10
DP-015487,2021-10-31,ST-18,P-81,8
GT-7635,2020-05-21,ST-1,P-53,10
FB-56444,2024-04-25,ST-9,P-46,6
ZG-6168,2020-09-24,ST-62,P-81,2
RU-2976,2020-11-08,ST-57,P-62,8
DT-67709,2020-09-23,ST-63,P-35,7
ES-39287,2023-11-25,ST-60,P-53,5
OQ-21886,2022-05-22,ST-73,P-87,2
TA-81969,2021-07-11,ST-35,P-40,9
CL-8122,2022-10-09,ST-38,P-52,3
LK-11785,2022-09-13,ST-63,P-72,5
JP-8431,2022-04-22,ST-37,P-72,6
EJ-66720,2021-07-09,ST-34,P-72,9
LW-76995,2021-08-27,ST-50,P-62,2
UP-216996,2022-07-22,ST-63,P-56,1
QC-198750,2022-02-27,ST-55,P-79,9
QI-312918,2022-02-13,ST-36,P-16,10
TT-4483,2020-08-27,ST-72,P-10,5
WR-6540,2024-04-03,ST-59,P-62,5
AK-198495,2023-11-24,ST-22,P-23,10
UG-5045,2020-05-01,ST-24,P-8,2
KN-56306,2023-02-16,ST-67,P-88,9
VN-996547,2021-02-01,ST-38,P-65,2
AM-1560,2020-05-09,ST-62,P-25,1
SH-8969,2023-10-01,ST-64,P-33,2
NH-772801,2020-08-31,ST-34,P-16,7
UD-23795,2023-12-21,ST-36,P-62,10
KL-35893,2020-06-28,ST-19,P-29,8
IU-6760,2020-08-04,ST-69,P-45,2
IX-433039,2022-11-06,ST-10,P-79,10
WW-56989,2022-06-04,ST-66,P-74,6
QF-8945,2021-06-15,ST-30,P-31,5
PM-9942,2024-10-16,ST-46,P-81,10
NA-5782,2024-06-27,ST-62,P-73,4
NB-140340,2022-05-18,ST-57,P-40,4
SQ-722161,2021-11-15,ST-23,P-72,4
OB-5883,2021-03-06,ST-69,P-37,5
VS-6264,2020-10-21,ST-39,P-4,6
ID-936722,2024-07-03,ST-21,P-54,4
CJ-384781,2023-06-19,ST-39,P-14,9
CR-2731,2020-04-21,ST-73,P-41,9
ZD-16419,2024-05-18,ST-19,P-89,6
WG-3321,2020-06-01,ST-18,P-8,2
UU-57785,2021-04-03,ST-66,P-57,1
YW-8038,2022-11-24,ST-26,P-86,7
KB-71838,2021-12-15,ST-11,P-49,8
EL-286902,2024-03-10,ST-11,P-49,10
VL-48300,2020-12-23,ST-75,P-75,7
AE-0065,2022-03-23,ST-54,P-71,2
FJ-340873,2023-11-08,ST-39,P-49,5
UK-524729,2022-09-07,ST-44,P-47,9
GG-3542,2023-03-15,ST-29,P-13,10
SF-927427,2020-12-02,ST-37,P-80,3
WI-639574,2024-02-14,ST-68,P-16,2
BW-0381,2022-05-19,ST-60,P-50,8
LX-661967,2024-09-25,ST-16,P-69,1
WN-8319,2022-12-28,ST-10,P-82,8
OJ-12661,2024-09-10,ST-29,P-44,5
KS-48768,2021-12-31,ST-25,P-52,7
EU-91531,2022-12-04,ST-9,P-62,6
BL-548375,2022-09-05,ST-7,P-39,1
US-8128,2023-06-19,ST-67,P-6,7
SM-2728,2022-04-06,ST-42,P-28,1
XS-9165,2024-09-21,ST-43,P-77,10
EW-6701,2021-01-20,ST-59,P-63,4
SN-527685,2020-02-04,ST-49,P-9,1
YU-051924,2024-10-08,ST-11,P-20,9
GM-603816,2022-09-02,ST-56,P-83,6
TE-589696,2023-05-24,ST-18,P-24,3
OK-030980,2024-01-07,ST-14,P-54,2
BT-913847,2020-02-16,ST-10,P-73,8
XA-978503,2020-07-03,ST-1,P-23,10
ZV-7233,2024-05-03,ST-23,P-81,9
MH-72952,2023-06-17,ST-23,P-26,3
ND-9780,2024-07-10,ST-17,P-51,1
IG-18552,2022-08-23,ST-23,P-1,6
LF-99781,2020-11-25,ST-7,P-59,2
FK-78954,2022-04-11,ST-15,P-39,10
PU-006573,2023-05-11,ST-72,P-82,7
JR-53290,2022-05-17,ST-72,P-14,6
XI-990648,2020-04-14,ST-47,P-13,6
OS-44763,2021-11-13,ST-11,P-15,6
OS-932943,2022-03-18,ST-23,P-76,4
FG-80985,2022-02-11,ST-7,P-66,2
HN-92882,2022-11-13,ST-10,P-39,4
EJ-409944,2024-06-25,ST-9,P-30,6
VK-93255,2021-04-27,ST-53,P-75,6
GY-65776,2020-01-26,ST-43,P-84,8
EI-788384,2020-06-14,ST-18,P-24,4
IM-9986,2022-05-01,ST-62,P-61,10
CF-3989,2022-02-24,ST-67,P-18,8
BT-76580,2023-07-12,ST-42,P-4,2
YZ-122103,2021-10-01,ST-71,P-42,9
PU-4495,2023-06-21,ST-62,P-50,9
VT-59279,2020-05-18,ST-53,P-72,8
VO-89578,2023-10-13,ST-18,P-47,8
UI-0066,2022-07-15,ST-45,P-82,1
ZL-018946,2022-04-18,ST-43,P-38,4
TF-21412,2020-07-22,ST-34,P-64,7
LU-71789,2021-12-04,ST-32,P-50,10
SF-53628,2023-05-06,ST-50,P-89,9
ED-0296,2023-03-26,ST-62,P-53,9
UT-223940,2023-08-31,ST-40,P-31,3
KM-337698,2024-08-28,ST-47,P-9,9
NX-359278,2021-08-29,ST-60,P-34,9
AA-59909,2024-03-13,ST-68,P-49,5
HE-3308,2021-11-29,ST-69,P-84,7
VI-0148,2020-03-17,ST-60,P-58,9
TL-560102,2024-10-04,ST-36,P-65,9
YW-38714,2020-02-27,ST-14,P-43,1
SF-2550,2022-12-25,ST-56,P-4,6
JU-3958,2021-04-21,ST-12,P-30,8
RG-244012,2021-02-16,ST-52,P-16,2
CD-314987,2021-06-22,ST-60,P-29,1
GO-56515,2020-06-05,ST-14,P-12,10
CB-159088,2022-11-08,ST-2,P-5,7
KJ-123869,2022-09-17,ST-26,P-44,5
EJ-5192,2023-07-25,ST-8,P-12,9
BX-32132,2023-09-14,ST-48,P-84,2
UD-92690,2021-09-02,ST-25,P-5,1
IM-79368,2020-10-14,ST-36,P-35,9
AG-519124,2020-07-31,ST-72,P-50,8
ZN-6122,2023-07-12,ST-30,P-12,8
RL-702259,2022-03-02,ST-74,P-89,9
ND-629241,2020-12-19,ST-42,P-35,2
OR-743078,2023-04-10,ST-16,P-43,4
HO-150955,2023-01-01,ST-5,P-31,3
OX-03908,2021-12-19,ST-27,P-43,9
KF-3236,2022-02-06,ST-18,P-22,10
SY-674990,2021-06-09,ST-30,P-32,6
DA-99935,2023-01-21,ST-50,P-27,7
XM-2869,2020-08-07,ST-35,P-4,1
XF-327325,2022-06-23,ST-17,P-75,7
ZW-6227,2022-02-12,ST-51,P-78,7
ZX-97459,2023-09-17,ST-22,P-65,9
GY-8422,2022-11-03,ST-6,P-38,6
XT-6233,2022-09-08,ST-69,P-17,5
ER-2549,2024-03-21,ST-48,P-56,2
HI-85160,2023-08-27,ST-53,P-8,1
TL-63055,2023-02-23,ST-7,P-81,7
DT-65469,2020-08-29,ST-68,P-69,1
IX-69951,2020-04-23,ST-56,P-43,5
TT-434180,2024-05-14,ST-62,P-63,1
HH-142815,2021-12-03,ST-65,P-29,10
XX-987762,2023-02-12,ST-23,P-7,1
VP-23831,2023-03-26,ST-31,P-52,4
AA-567197,2022-08-17,ST-65,P-49,5
WV-2638,2022-03-20,ST-65,P-52,4
EA-15615,2021-12-29,ST-5,P-23,2
TJ-5746,2022-08-12,ST-30,P-18,6
JH-52183,2021-03-15,ST-22,P-78,7
UH-241850,2024-06-30,ST-2,P-16,6
BM-0019,2021-11-06,ST-3,P-43,6
SP-026198,2021-03-16,ST-16,P-53,5
JG-111375,2020-06-13,ST-37,P-1,7
FZ-36564,2022-08-30,ST-68,P-21,4
JG-953955,2022-10-30,ST-19,P-44,6
VF-627570,2023-07-08,ST-22,P-50,10
VR-835480,2020-03-10,ST-27,P-5,1
ZD-887571,2023-01-31,ST-55,P-88,5
QT-13612,2021-10-18,ST-9,P-85,6
QH-35398,2020-02-06,ST-52,P-81,10
OT-416284,2024-05-10,ST-44,P-2,3
FU-0561,2020-06-04,ST-23,P-83,6
SM-503667,2022-08-04,ST-42,P-23,7
QO-8282,2024-01-13,ST-63,P-51,3
PF-783772,2020-10-05,ST-5,P-12,10
OQ-5875,2020-09-25,ST-57,P-25,7
BX-87912,2022-09-21,ST-42,P-35,4
CJ-77390,2020-02-10,ST-56,P-27,4
SQ-10866,2021-11-22,ST-5,P-69,3
ZZ-26759,2021-10-30,ST-31,P-73,4
VJ-09416,2022-10-31,ST-7,P-14,7
JI-9188,2020-01-16,ST-8,P-19,2
AP-80732,2022-06-01,ST-38,P-41,10
HF-0348,2024-01-25,ST-20,P-81,5
PN-847536,2024-09-27,ST-61,P-57,4
UE-57666,2021-10-04,ST-73,P-6,2
UD-79346,2024-01-13,ST-49,P-57,3
XN-324564,2024-07-26,ST-27,P-44,7
JI-8718,2023-06-11,ST-72,P-26,2
MP-082486,2023-08-14,ST-36,P-35,7
CA-783164,2020-08-25,ST-54,P-67,3
ET-999268,2024-01-30,ST-6,P-49,3
PK-48555,2023-11-07,ST-8,P-49,7
RN-1108,2021-02-05,ST-12,P-11,10
EH-2135,2020-01-18,ST-24,P-48,10
LS-3207,2022-06-10,ST-33,P-70,3
WI-2159,2020-01-16,ST-64,P-75,8
JF-21582,2024-10-25,ST-32,P-42,10
KC-43196,2023-08-08,ST-34,P-17,1
IM-042135,2023-10-21,ST-72,P-62,5
ZN-13612,2021-01-19,ST-41,P-84,9
TO-661796,2020-04-06,ST-62,P-59,9
IY-611887,2020-08-31,ST-64,P-47,4
WQ-7811,2020-07-29,ST-35,P-74,7
QX-939852,2021-11-11,ST-49,P-67,7
CK-1805,2021-11-20,ST-26,P-55,5
HH-00980,2021-06-06,ST-72,P-38,9
DD-27109,2021-11-21,ST-12,P-31,3
XD-680970,2024-10-16,ST-40,P-23,3
DQ-76619,2020-12-27,ST-41,P-19,7
AK-1212,2023-01-18,ST-28,P-27,8
AQ-95052,2021-10-26,ST-30,P-37,10
IS-47058,2021-02-14,ST-10,P-44,10
QM-798321,2023-01-06,ST-17,P-52,5
JF-5547,2021-10-28,ST-6,P-60,3
IF-195540,2022-02-01,ST-10,P-81,2
AQ-107217,2020-09-13,ST-26,P-4,7
SF-318538,2021-02-27,ST-71,P-56,10
ZN-16611,2022-03-15,ST-55,P-77,9
IV-596277,2023-04-26,ST-68,P-15,8
GQ-223816,2020-09-15,ST-43,P-23,6
LS-196214,2020-07-17,ST-48,P-18,9
TW-39690,2021-11-29,ST-9,P-16,3
KO-6131,2023-11-11,ST-19,P-82,6
UJ-400217,2022-02-03,ST-12,P-20,4
DJ-921004,2023-05-30,ST-66,P-58,6
BV-85838,2024-08-30,ST-27,P-70,1
GZ-24470,2022-12-06,ST-7,P-20,1
MC-78940,2022-12-16,ST-54,P-20,8
HB-460256,2020-04-02,ST-33,P-27,2
